symbol,interval,datetime,open,high,low,close,volume
BTCUSDT,1m,2025-06-06 17:34:00,104465.11,104497.44,104465.11,104497.43,11.33408
BTCUSDT,1m,2025-06-06 17:35:00,104497.44,104566.04,104497.43,104566.04,9.39233
BTCUSDT,1m,2025-06-06 17:36:00,104566.03,104601.61,104566.03,104590.07,13.18598
BTCUSDT,1m,2025-06-06 17:37:00,104590.07,104590.07,104564.11,104571.81,4.77037
BTCUSDT,1m,2025-06-06 17:38:00,104571.81,104600.27,104571.8,104595.56,5.69272
BTCUSDT,1m,2025-06-06 17:39:00,104595.56,104641.06,104595.56,104629.54,8.69706
BTCUSDT,1m,2025-06-06 17:40:00,104629.54,104645.29,104600.52,104638.48,6.21015
BTCUSDT,1m,2025-06-06 17:41:00,104638.47,104638.47,104612.06,104616.77,5.60445
BTCUSDT,1m,2025-06-06 17:42:00,104616.76,104641.92,104597.8,104597.8,5.65888
BTCUSDT,1m,2025-06-06 17:43:00,104597.81,104597.82,104541.78,104541.79,5.11175
BTCUSDT,1m,2025-06-06 17:44:00,104541.78,104563.53,104490.95,104563.53,8.13465
BTCUSDT,1m,2025-06-06 17:45:00,104563.52,104627.91,104563.52,104627.91,7.09139
BTCUSDT,1m,2025-06-06 17:46:00,104627.91,104648.87,104607.74,104648.87,9.65053
BTCUSDT,1m,2025-06-06 17:47:00,104648.86,104708.0,104595.03,104613.73,19.18976
BTCUSDT,1m,2025-06-06 17:48:00,104615.68,104615.68,104586.61,104586.9,6.84419
BTCUSDT,1m,2025-06-06 17:49:00,104586.91,104637.72,104565.93,104637.72,15.67276
BTCUSDT,1m,2025-06-06 17:50:00,104637.71,104659.98,104632.8,104645.2,3.702
BTCUSDT,1m,2025-06-06 17:51:00,104645.19,104659.15,104621.13,104621.14,8.78081
BTCUSDT,1m,2025-06-06 17:52:00,104621.14,104621.14,104594.19,104614.35,4.98025
BTCUSDT,1m,2025-06-06 17:53:00,104614.34,104636.1,104611.47,104636.09,7.55407
BTCUSDT,1m,2025-06-06 17:54:00,104636.1,104734.65,104636.1,104725.31,15.1544
BTCUSDT,1m,2025-06-06 17:55:00,104725.31,104767.45,104723.12,104761.91,10.31015
BTCUSDT,1m,2025-06-06 17:56:00,104761.92,104830.63,104761.91,104812.77,28.56258
BTCUSDT,1m,2025-06-06 17:57:00,104812.78,104872.0,104812.77,104871.99,14.16454
BTCUSDT,1m,2025-06-06 17:58:00,104871.99,104975.47,104871.99,104956.17,41.67044
BTCUSDT,1m,2025-06-06 17:59:00,104956.16,104956.17,104922.13,104922.14,5.19991
BTCUSDT,1m,2025-06-06 18:00:00,104922.14,104982.38,104906.97,104916.0,14.13918
BTCUSDT,1m,2025-06-06 18:01:00,104916.0,104945.41,104916.0,104927.9,4.68322
BTCUSDT,1m,2025-06-06 18:02:00,104927.9,104979.98,104923.18,104943.33,10.68978
BTCUSDT,1m,2025-06-06 18:03:00,104943.32,104943.33,104906.97,104906.98,5.51884
BTCUSDT,1m,2025-06-06 18:04:00,104906.97,104906.97,104860.46,104860.6,6.93971
BTCUSDT,1m,2025-06-06 18:05:00,104860.6,104869.22,104843.8,104869.22,5.22612
BTCUSDT,1m,2025-06-06 18:06:00,104869.21,104869.22,104786.17,104812.3,6.55536
BTCUSDT,1m,2025-06-06 18:07:00,104812.31,104860.01,104805.55,104805.55,7.15652
BTCUSDT,1m,2025-06-06 18:08:00,104805.55,104813.96,104793.36,104813.96,2.50473
BTCUSDT,1m,2025-06-06 18:09:00,104813.95,104813.96,104796.0,104796.0,1.47539
BTCUSDT,1m,2025-06-06 18:10:00,104796.0,104796.0,104725.28,104759.86,8.19147
BTCUSDT,1m,2025-06-06 18:11:00,104759.87,104765.92,104735.78,104735.78,5.19661
BTCUSDT,1m,2025-06-06 18:12:00,104735.78,104735.79,104700.69,104700.69,2.98746
BTCUSDT,1m,2025-06-06 18:13:00,104700.69,104720.91,104697.67,104697.67,3.38788
BTCUSDT,1m,2025-06-06 18:14:00,104697.67,104697.68,104655.98,104655.99,3.15214
BTCUSDT,1m,2025-06-06 18:15:00,104655.99,104661.11,104639.71,104661.11,3.06845
BTCUSDT,1m,2025-06-06 18:16:00,104661.1,104665.48,104647.68,104647.68,2.93249
BTCUSDT,1m,2025-06-06 18:17:00,104647.69,104658.15,104633.73,104633.73,3.17689
BTCUSDT,1m,2025-06-06 18:18:00,104633.74,104633.74,104581.39,104612.01,13.44903
BTCUSDT,1m,2025-06-06 18:19:00,104612.01,104674.42,104612.0,104652.13,6.32447
BTCUSDT,1m,2025-06-06 18:20:00,104652.12,104659.1,104629.07,104629.07,2.29356
BTCUSDT,1m,2025-06-06 18:21:00,104629.08,104629.08,104511.62,104523.33,13.44203
BTCUSDT,1m,2025-06-06 18:22:00,104523.34,104550.78,104488.38,104549.02,18.05638
BTCUSDT,1m,2025-06-06 18:23:00,104549.02,104549.02,104505.32,104527.97,9.04223
BTCUSDT,1m,2025-06-06 18:24:00,104527.97,104534.89,104512.11,104512.11,5.00027
BTCUSDT,1m,2025-06-06 18:25:00,104512.11,104521.78,104475.93,104475.93,5.82646
BTCUSDT,1m,2025-06-06 18:26:00,104475.94,104521.78,104475.94,104496.02,9.30621
BTCUSDT,1m,2025-06-06 18:27:00,104496.01,104496.01,104476.28,104476.28,6.15959
BTCUSDT,1m,2025-06-06 18:28:00,104476.28,104504.05,104476.28,104494.89,4.23364
BTCUSDT,1m,2025-06-06 18:29:00,104494.89,104506.99,104494.37,104506.99,3.62309
BTCUSDT,1m,2025-06-06 18:30:00,104506.99,104592.78,104506.99,104552.62,27.19627
BTCUSDT,1m,2025-06-06 18:31:00,104552.62,104556.56,104543.87,104551.2,1.84734
BTCUSDT,1m,2025-06-06 18:32:00,104551.21,104642.18,104539.59,104642.17,12.51614
BTCUSDT,1m,2025-06-06 18:33:00,104642.17,104678.59,104624.64,104678.59,7.66174
BTCUSDT,1m,2025-06-06 18:34:00,104678.58,104684.47,104657.39,104668.32,5.94228
BTCUSDT,1m,2025-06-06 18:35:00,104668.32,104724.0,104662.62,104688.08,8.11149
BTCUSDT,1m,2025-06-06 18:36:00,104688.08,104711.88,104676.45,104711.87,3.6561
BTCUSDT,1m,2025-06-06 18:37:00,104711.88,104729.89,104682.93,104682.94,3.46568
BTCUSDT,1m,2025-06-06 18:38:00,104682.94,104725.97,104665.72,104725.96,3.33395
BTCUSDT,1m,2025-06-06 18:39:00,104725.95,104725.96,104646.91,104695.74,7.69399
BTCUSDT,1m,2025-06-06 18:40:00,104695.74,104702.75,104686.53,104702.74,2.41944
BTCUSDT,1m,2025-06-06 18:41:00,104702.75,104702.75,104614.49,104614.49,11.55488
BTCUSDT,1m,2025-06-06 18:42:00,104614.5,104614.5,104581.39,104608.36,6.55482
BTCUSDT,1m,2025-06-06 18:43:00,104608.36,104608.36,104591.94,104591.95,2.01191
BTCUSDT,1m,2025-06-06 18:44:00,104591.94,104669.31,104591.94,104647.91,11.0212
BTCUSDT,1m,2025-06-06 18:45:00,104647.92,104657.9,104633.69,104644.16,2.40819
BTCUSDT,1m,2025-06-06 18:46:00,104644.16,104669.3,104626.9,104669.29,6.76153
BTCUSDT,1m,2025-06-06 18:47:00,104669.29,104696.51,104664.81,104664.81,5.05703
BTCUSDT,1m,2025-06-06 18:48:00,104664.82,104664.82,104604.93,104604.94,2.42965
BTCUSDT,1m,2025-06-06 18:49:00,104604.94,104604.94,104576.28,104581.4,3.71606
BTCUSDT,1m,2025-06-06 18:50:00,104581.39,104581.4,104570.93,104570.93,1.9245
BTCUSDT,1m,2025-06-06 18:51:00,104570.93,104570.93,104521.94,104536.29,10.5559
BTCUSDT,1m,2025-06-06 18:52:00,104536.29,104543.85,104526.18,104543.85,1.53001
BTCUSDT,1m,2025-06-06 18:53:00,104543.84,104543.85,104535.28,104535.28,1.43113
BTCUSDT,1m,2025-06-06 18:54:00,104535.28,104535.28,104491.47,104491.47,3.57938
BTCUSDT,1m,2025-06-06 18:55:00,104491.48,104500.01,104488.37,104500.01,2.87927
BTCUSDT,1m,2025-06-06 18:56:00,104500.0,104531.32,104500.0,104522.47,6.15336
BTCUSDT,1m,2025-06-06 18:57:00,104522.47,104522.47,104502.5,104502.51,1.85919
BTCUSDT,1m,2025-06-06 18:58:00,104502.51,104502.51,104492.05,104497.68,6.42943
BTCUSDT,1m,2025-06-06 18:59:00,104497.68,104497.69,104477.77,104497.69,8.04399
BTCUSDT,1m,2025-06-06 19:00:00,104497.69,104551.17,104497.68,104539.64,17.93122
BTCUSDT,1m,2025-06-06 19:01:00,104539.64,104539.64,104497.8,104497.8,7.85482
BTCUSDT,1m,2025-06-06 19:02:00,104497.8,104504.22,104497.8,104504.21,7.17677
BTCUSDT,1m,2025-06-06 19:03:00,104504.21,104504.22,104476.29,104476.29,7.92273
BTCUSDT,1m,2025-06-06 19:04:00,104476.29,104531.2,104476.29,104531.19,8.32185
BTCUSDT,1m,2025-06-06 19:05:00,104531.2,104575.12,104531.19,104566.91,9.49201
BTCUSDT,1m,2025-06-06 19:06:00,104566.91,104569.73,104529.81,104529.81,5.10582
BTCUSDT,1m,2025-06-06 19:07:00,104529.81,104529.82,104519.19,104519.19,1.16892
BTCUSDT,1m,2025-06-06 19:08:00,104519.19,104526.38,104512.64,104526.38,4.13455
